Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2013/01/01 00:00:00;2013/01/01 23:59:59;AIR PAYS DE LA LOIRE;FR23A01;PAYS DE LA LOIRE-NANTES;FR23140;VICTOR HUGO;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.249875;mg-m3;100.0;100;100.0;R;1;47.204356;-1.552914
2013/01/02 00:00:00;2013/01/02 23:59:59;AIR PAYS DE LA LOIRE;FR23A01;PAYS DE LA LOIRE-NANTES;FR23140;VICTOR HUGO;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.446125;mg-m3;100.0;100;100.0;R;1;47.204356;-1.552914
2013/01/03 00:00:00;2013/01/03 23:59:59;AIR PAYS DE LA LOIRE;FR23A01;PAYS DE LA LOIRE-NANTES;FR23140;VICTOR HUGO;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.2415;mg-m3;100.0;100;100.0;R;1;47.204356;-1.552914
2013/01/04 00:00:00;2013/01/04 23:59:59;AIR PAYS DE LA LOIRE;FR23A01;PAYS DE LA LOIRE-NANTES;FR23140;VICTOR HUGO;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.1337916667;mg-m3;100.0;100;100.0;R;1;47.204356;-1.552914
2013/01/05 00:00:00;2013/01/05 23:59:59;AIR PAYS DE LA LOIRE;FR23A01;PAYS DE LA LOIRE-NANTES;FR23140;VICTOR HUGO;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.1062083333;mg-m3;100.0;100;100.0;R;1;47.204356;-1.552914
2013/01/06 00:00:00;2013/01/06 23:59:59;AIR PAYS DE LA LOIRE;FR23A01;PAYS DE LA LOIRE-NANTES;FR23140;VICTOR HUGO;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.2336666667;mg-m3;100.0;100;100.0;R;1;47.204356;-1.552914
2013/01/07 00:00:00;2013/01/07 23:59:59;AIR PAYS DE LA LOIRE;FR23A01;PAYS DE LA LOIRE-NANTES;FR23140;VICTOR HUGO;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.1942916667;mg-m3;100.0;100;100.0;R;1;47.204356;-1.552914
2013/01/08 00:00:00;2013/01/08 23:59:59;AIR PAYS DE LA LOIRE;FR23A01;PAYS DE LA LOIRE-NANTES;FR23140;VICTOR HUGO;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.385125;mg-m3;100.0;100;100.0;R;1;47.204356;-1.552914
2013/01/09 00:00:00;2013/01/09 23:59:59;AIR PAYS DE LA LOIRE;FR23A01;PAYS DE LA LOIRE-NANTES;FR23140;VICTOR HUGO;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.276375;mg-m3;100.0;100;100.0;R;1;47.204356;-1.552914
2013/01/10 00:00:00;2013/01/10 23:59:59;AIR PAYS DE LA LOIRE;FR23A01;PAYS DE LA LOIRE-NANTES;FR23140;VICTOR HUGO;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.2440909091;mg-m3;92.0;100;92.0;R;1;47.204356;-1.552914
2013/01/11 00:00:00;2013/01/11 23:59:59;AIR PAYS DE LA LOIRE;FR23A01;PAYS DE LA LOIRE-NANTES;FR23140;VICTOR HUGO;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.389;mg-m3;100.0;100;100.0;R;1;47.204356;-1.552914
2013/01/12 00:00:00;2013/01/12 23:59:59;AIR PAYS DE LA LOIRE;FR23A01;PAYS DE LA LOIRE-NANTES;FR23140;VICTOR HUGO;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.325;mg-m3;100.0;100;100.0;R;1;47.204356;-1.552914
