Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2013/01/10 00:00:00;2013/01/10 23:59:59;ATMO SUD;FR03A02;PROVENCE-ALPES-COTE-D-AZUR-MARSEILLE;FR03004;MARSEILLE PLOMBIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;1.0;0.7159583333;mg-m3;100.0;100;100.0;R;1;43.315428;5.386739
2013/01/11 00:00:00;2013/01/11 23:59:59;ATMO SUD;FR02N30;PROVENCE-ALPES-COTE-D-AZUR-ZI;FR02031;Marignane Ville;Urbaine;CO;Fond;Oui;mesures fixes;Moy. journalière;0.0;0.1399583333;mg-m3;100.0;100;100.0;R;1;43.415689;5.216875
2013/01/11 00:00:00;2013/01/11 23:59:59;ATMO SUD;FR03A02;PROVENCE-ALPES-COTE-D-AZUR-MARSEILLE;FR03004;MARSEILLE PLOMBIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.4399166667;mg-m3;100.0;100;100.0;R;1;43.315428;5.386739
2013/01/12 00:00:00;2013/01/12 23:59:59;ATMO SUD;FR02N30;PROVENCE-ALPES-COTE-D-AZUR-ZI;FR02031;Marignane Ville;Urbaine;CO;Fond;Oui;mesures fixes;Moy. journalière;1.0;0.5416666667;mg-m3;100.0;100;100.0;R;1;43.415689;5.216875
2013/01/12 00:00:00;2013/01/12 23:59:59;ATMO SUD;FR03A02;PROVENCE-ALPES-COTE-D-AZUR-MARSEILLE;FR03004;MARSEILLE PLOMBIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;1.0;0.6958333333;mg-m3;100.0;100;100.0;R;1;43.315428;5.386739
2013/01/13 00:00:00;2013/01/13 23:59:59;ATMO SUD;FR02N30;PROVENCE-ALPES-COTE-D-AZUR-ZI;FR02031;Marignane Ville;Urbaine;CO;Fond;Oui;mesures fixes;Moy. journalière;0.0;0.2600833333;mg-m3;100.0;100;100.0;R;1;43.415689;5.216875
2013/01/13 00:00:00;2013/01/13 23:59:59;ATMO SUD;FR03A02;PROVENCE-ALPES-COTE-D-AZUR-MARSEILLE;FR03004;MARSEILLE PLOMBIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;1.0;0.5791666667;mg-m3;100.0;100;100.0;R;1;43.315428;5.386739
2013/01/14 00:00:00;2013/01/14 23:59:59;ATMO SUD;FR02N30;PROVENCE-ALPES-COTE-D-AZUR-ZI;FR02031;Marignane Ville;Urbaine;CO;Fond;Oui;mesures fixes;Moy. journalière;0.0;0.036125;mg-m3;100.0;100;100.0;R;1;43.415689;5.216875
2013/01/14 00:00:00;2013/01/14 23:59:59;ATMO SUD;FR03A02;PROVENCE-ALPES-COTE-D-AZUR-MARSEILLE;FR03004;MARSEILLE PLOMBIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.4479166667;mg-m3;100.0;100;100.0;R;1;43.315428;5.386739
2013/01/15 00:00:00;2013/01/15 23:59:59;ATMO SUD;FR02N30;PROVENCE-ALPES-COTE-D-AZUR-ZI;FR02031;Marignane Ville;Urbaine;CO;Fond;Oui;mesures fixes;Moy. journalière;0.0;0.2590416667;mg-m3;100.0;100;100.0;R;1;43.415689;5.216875
