id_poste_livraison;id_parc;code_insee;nom_commune;code_dept;code_reg;x_poste_livraison;y_poste_livraison;epsg;libelle;date_maj
0003012582_PL2;0003012582;51276;GOURGANCON;51;44;776468.8;6841754.0;2154;Lambert-93;2022-10-22
0003012835_PL1;0003012835;52446;SAINT-BROINGT-LES-FOSSES;52;44;862723.0;6737268.0;2154;Lambert-93;2022-10-20
0003012835_PL1;0003012835;52092;CHALANCEY;52;44;862723.0;6737268.0;2154;Lambert-93;2022-10-20
0003012835_PL1;0003012835;52499;VAILLANT;52;44;862723.0;6737268.0;2154;Lambert-93;2022-10-20
0003012835_PL1;0003012835;52027;AUJEURRES;52;44;862723.0;6737268.0;2154;Lambert-93;2022-10-20
0003012835_PL1;0003012835;52519;VESVRES-SOUS-CHALANCEY;52;44;862723.0;6737268.0;2154;Lambert-93;2022-10-20
0003012835_PL2;0003012835;52499;VAILLANT;52;44;863840.0;6737849.0;2154;Lambert-93;2022-10-20
0003012835_PL2;0003012835;52092;CHALANCEY;52;44;863840.0;6737849.0;2154;Lambert-93;2022-10-20
0003012835_PL2;0003012835;52446;SAINT-BROINGT-LES-FOSSES;52;44;863840.0;6737849.0;2154;Lambert-93;2022-10-20
0003012835_PL2;0003012835;52519;VESVRES-SOUS-CHALANCEY;52;44;863840.0;6737849.0;2154;Lambert-93;2022-10-20
0003012835_PL2;0003012835;52027;AUJEURRES;52;44;863840.0;6737849.0;2154;Lambert-93;2022-10-20
0003012843_PL1;0003012843;51490;ST JEAN SUR MOIVRE;51;44;816366.0;6866251.0;2154;Lambert-93;2022-11-18
0003012845_PL1;0003012845;51022;AULNAY L AITRE;51;44;813710.0;6858715.0;2154;Lambert-93;2022-11-19
0003012845_PL1;0003012845;51141;LA CHAUSSEE SUR MARNE;51;44;813710.0;6858715.0;2154;Lambert-93;2022-11-19
0003012846_PL1;0003012846;51022;AULNAY L AITRE;51;44;813714.0;6858717.0;2154;Lambert-93;2022-11-19
0003012846_PL1;0003012846;51141;LA CHAUSSEE SUR MARNE;51;44;813714.0;6858717.0;2154;Lambert-93;2022-11-19
0003012848_PL1;0003012848;51446;PRINGY;51;44;806676.0;6852707.0;2154;Lambert-93;2022-10-26
0003012848_PL2;0003012848;51446;PRINGY;51;44;806700.0;6852710.0;2154;Lambert-93;2022-10-26
0003012848_PL3;0003012848;51446;PRINGY;51;44;806704.0;6852712.0;2154;Lambert-93;2022-10-26
0003012939_PL1;0003012939;51148;CHEPPES LA PRAIRIE;51;44;804415.0;6857316.0;2154;Lambert-93;2022-11-09
0003012979_PL1;0003012979;08440;TARZY;08;44;791879.44;6975291.0;2154;Lambert-93;2022-10-22
0003012991_PL1;0003012991;57698;VATIMONT;57;44;955351.1;6880945.0;2154;Lambert-93;2022-10-27
0003012991_PL2;0003012991;57698;VATIMONT;57;44;955348.1;6880941.5;2154;Lambert-93;2022-10-27
0003012992_PL1;0003012992;57451;MARTHILLE;57;44;962033.9;6875962.0;2154;Lambert-93;2022-10-22
0003012992_PL1;0003012992;57004;ACHAIN;57;44;962033.9;6875962.0;2154;Lambert-93;2022-10-22
0003012992_PL2;0003012992;57004;ACHAIN;57;44;962345.06;6875414.0;2154;Lambert-93;2022-10-22
0003012992_PL2;0003012992;57451;MARTHILLE;57;44;962345.06;6875414.0;2154;Lambert-93;2022-10-22
0003012992_PL3;0003012992;57451;MARTHILLE;57;44;963386.9;6875668.5;2154;Lambert-93;2022-10-22
0003012992_PL3;0003012992;57004;ACHAIN;57;44;963386.9;6875668.5;2154;Lambert-93;2022-10-22
0003013044_PL1;0003013044;51107;CHAINTRIX-BIERGES;51;44;779686.0;6866868.0;2154;Lambert-93;2022-10-25
0003013044_PL1;0003013044;51603;VELYE;51;44;779686.0;6866868.0;2154;Lambert-93;2022-10-25
0003013044_PL2;0003013044;51107;CHAINTRIX-BIERGES;51;44;780908.0;6864692.0;2154;Lambert-93;2022-10-25
0003013044_PL2;0003013044;51603;VELYE;51;44;780908.0;6864692.0;2154;Lambert-93;2022-10-25
0003013044_PL3;0003013044;51107;CHAINTRIX-BIERGES;51;44;781208.0;6865167.0;2154;Lambert-93;2022-10-25
0003013044_PL3;0003013044;51603;VELYE;51;44;781208.0;6865167.0;2154;Lambert-93;2022-10-25
0003013282_PL1;0003013282;10289;PLANCY-L'ABBAYE;10;44;773460.2;6833845.5;2154;Lambert-93;2022-10-21
0003013282_PL1;0003013282;10075;CHAMPFLEURY;10;44;773460.2;6833845.5;2154;Lambert-93;2022-10-21
0003013282_PL2;0003013282;10075;CHAMPFLEURY;10;44;773460.2;6833845.5;2154;Lambert-93;2022-10-21
0003013282_PL2;0003013282;10289;PLANCY-L'ABBAYE;10;44;773460.2;6833845.5;2154;Lambert-93;2022-10-21
0003013342_PL1;0003013342;51113;CHAMPAUBERT;51;44;754816.0;6863117.0;2154;Lambert-93;2022-10-26
0003013342_PL1;0003013342;51042;BAYE;51;44;754816.0;6863117.0;2154;Lambert-93;2022-10-26
0003013342_PL2;0003013342;51113;CHAMPAUBERT;51;44;754372.0;6864893.0;2154;Lambert-93;2022-10-26
0003013342_PL2;0003013342;51042;BAYE;51;44;754372.0;6864893.0;2154;Lambert-93;2022-10-26
0003013475_PL1;0003013475;52044;ROCHES-BETTAINCOURT;52;44;873086.0;6803522.0;2154;Lambert-93;2022-10-20
0003013475_PL1;0003013475;52420;REYNEL;52;44;873086.0;6803522.0;2154;Lambert-93;2022-10-20
0003013475_PL2;0003013475;52044;ROCHES-BETTAINCOURT;52;44;872790.8;6802235.5;2154;Lambert-93;2022-10-20
0003013475_PL2;0003013475;52420;REYNEL;52;44;872790.8;6802235.5;2154;Lambert-93;2022-10-20
0003013475_PL3;0003013475;52044;ROCHES-BETTAINCOURT;52;44;871610.2;6802160.0;2154;Lambert-93;2022-10-20
0003013475_PL3;0003013475;52420;REYNEL;52;44;871610.2;6802160.0;2154;Lambert-93;2022-10-20
