idMvt;conf;xsaisi;ysaisi;epsg;num_insee;commune;dateDebut;lieu_dit;typeMvt;libelleType;fiabiliteType;libelleFiabilite;PrecDate;libelleDate;prec_xy;libellePrec;longitudeDoublePrec;latitudeDoublePrec;
"63100045";;"545946";"1818305";"27572";"31546";"SEYRE";"2002-01-01";;"1";"Glissement";"1";"Fort";"4";"Année";"2";"Décamètre";"1.67079246857033992";"43.3649415287991999";
"63100133";;"492264";"1823487";"27572";"31419";"LE PIN-MURELET";;;"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.00860853939443995";"43.4053832268778024";
"63100134";;"492273";"1824241";"27572";"31419";"LE PIN-MURELET";;;"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.00856236451634995";"43.4121594395301997";
"63100135";;"559964";"1826270";"27572";"31060";"BELESTA-EN-LAURAGAIS";"1970-01-01";"En Gil";"1";"Glissement";"1";"Fort";"5";"Décennie";"2";"Décamètre";"1.84282939508576993";"43.4374467500499009";
"63100136";;"559602";"1826388";"27572";"31060";"BELESTA-EN-LAURAGAIS";;"E-S-E de Le Moulin";"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.83835591439266";"43.4384866061522033";
"63100137";;"548332";"1813157";"27572";"31099";"CAIGNAC";;;"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.70069291789788002";"43.3188609469339028";
"63100138";;"573230";"1827167";"27572";"31451";"REVEL";"1990-01-01";"Saint Roch";"1";"Glissement";"1";"Fort";"5";"Décennie";"2";"Décamètre";"2.00638334826443998";"43.4461335496379988";
"63100040";;"547879";"1837773";"27572";"31029";"AURIN";"1988-01-01";"Saint André";"1";"Glissement";"1";"Fort";"4";"Année";"2";"Décamètre";"1.69263373067762002";"43.5400355119639002";
"63100041";;"548432";"1837974";"27572";"31029";"AURIN";"1988-01-01";;"1";"Glissement";"1";"Fort";"4";"Année";"2";"Décamètre";"1.69944542001948995";"43.5418824707214966";
"63100042";;"548225";"1837580";"27572";"31029";"AURIN";"1988-01-01";"Pountoune";"1";"Glissement";"1";"Fort";"4";"Année";"2";"Décamètre";"1.69692768465767996";"43.538326410882199";
"63100033";;"539272";"1844026";"27572";"31163";"DREMIL-LAFAGE";"1996-07-27";"Matis";"1";"Glissement";"1";"Fort";"1";"Jour";"2";"Décamètre";"1.58556424482892999";"43.595545941335601";
"63100034";;"550354";"1842876";"27572";"31534";"SAUSSENS";"2004-04-01";"Voie communale";"1";"Glissement";"1";"Fort";"3";"Saison";"2";"Décamètre";"1.72271741851314997";"43.5860759384445018";
"63100035";;"556678";"1838502";"27572";"31527";"LA SALVETAT-LAURAGAIS";;"Sud de En Baysse";"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.80127746791207999";"43.5471810444405989";
"63100036";;"555865";"1838316";"27572";"31527";"LA SALVETAT-LAURAGAIS";"1995-01-01";"La Pigeonnière";"1";"Glissement";"1";"Fort";"4";"Année";"2";"Décamètre";"1.79124817331439989";"43.5454591251533998";
"63100037";;"556391";"1838165";"27572";"31527";"LA SALVETAT-LAURAGAIS";;"Nord du village";"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.79775993182485005";"43.5441346892722976";
"63100028";;"539058";"1857478";"27572";"31358";"MONTASTRUC-LA-CONSEILLERE";"1980-01-01";"Anréli";"1";"Glissement";"1";"Fort";"4";"Année";"2";"Décamètre";"1.58131812899160007";"43.7164317645045983";
"63100030";;"526088";"1834949";"27572";"31433";"PORTET-SUR-GARONNE";;"Martranel";"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.42383892654048005";"43.5127155730652007";
"63100031";;"539307";"1844560";"27572";"31355";"MONS";;"Le Moulin";"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.5859339355272899";"43.6003482392444965";
"63100021";;"536633";"1835832";"27572";"31169";"ESCALQUENS";"2004-09-01";"Chemin du Sauzat";"1";"Glissement";"1";"Fort";"2";"Mois";"2";"Décamètre";"1.55394031355251006";"43.5216737094214992";
"63100022";;"537344";"1836431";"27572";"31169";"ESCALQUENS";"2003-04-01";;"1";"Glissement";"1";"Fort";"3";"Saison";"2";"Décamètre";"1.56264824638271005";"43.5271201784999988";
"63100009";;"478679";"1792721";"27572";"31504";"SAINT-MEDARD";;;"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"0.848378828256806994";"43.1267950671782998";
"63100139";;"507258";"1806897";"27572";"31455";"RIEUX";;;"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.19636587489072999";"43.2584417113200033";
"63100126";;"526385";"1815465";"27572";"31442";"PUYDANIEL";;;"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.43028234158869005";"43.3376631356057018";
"63100127";;"525989";"1815509";"27572";"31442";"PUYDANIEL";"2000-01-01";;"1";"Glissement";"1";"Fort";"4";"Année";"2";"Décamètre";"1.4254012427818199";"43.3380173227517034";
"63100010";;"533891";"1822917";"27572";"31401";"NOUEILLES";;"Cambou";"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.52173171334410995";"43.4053634046468986";
"63100011";;"532843";"1821203";"27572";"31024";"AURAGNE";"1960-01-01";"Ravin de Rioulos";"1";"Glissement";"1";"Fort";"5";"Décennie";"2";"Décamètre";"1.50903788279750994";"43.3898630756722028";
"63100012";;"530322";"1828980";"27572";"31171";"ESPANES";;;"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"1.47692669087588002";"43.4595045636622004";
"63100013";;"538258";"1820230";"27572";"31495";"SAINT-LEON";"1980-01-01";;"1";"Glissement";"1";"Fort";"4";"Année";"2";"Décamètre";"1.57587549044587005";"43.3816118504415016";
"63100002";;"476187";"1794376";"27572";"31124";"CASTILLON-DE-SAINT-MARTORY";;"Le Parrat";"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"0.817425479810103051";"43.1412329820172005";
"63100003";;"476694";"1794571";"27572";"31124";"CASTILLON-DE-SAINT-MARTORY";"1995-01-01";"Allements";"1";"Glissement";"1";"Fort";"4";"Année";"2";"Décamètre";"0.823598617885532014";"43.1430725104413995";
"63100005";;"477582";"1793918";"27572";"31124";"CASTILLON-DE-SAINT-MARTORY";;"Maylies";"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"0.834644959107966988";"43.1373598390574031";
"63100006";;"479167";"1793453";"27572";"31124";"CASTILLON-DE-SAINT-MARTORY";;;"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"0.854194113428760948";"43.1334532995433975";
"63100007";;"477022";"1794346";"27572";"31124";"CASTILLON-DE-SAINT-MARTORY";;"Entre les lieu-dit Allement et Maylies";"1";"Glissement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"0.82767523683633204";"43.1411080580879016";
"63100140";;"507158";"1806670";"27572";"31455";"RIEUX";;;"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.19517715273413994";"43.2563892061388984";
"63100142";;"523459";"1846584";"27572";"31069";"BLAGNAC";;"Chemin des Lilas";"1";"Glissement";"1";"Fort";"0";"Inconnue";"2";"Décamètre";"1.38964464361274009";"43.6169994335943016";
