Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2013/01/01 00:00:00;2013/01/01 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12009;RUE PARGAMINIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.2065833333;mg-m3;100.0;100;100.0;R;1;43.604508;1.439778
2013/01/02 00:00:00;2013/01/02 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12009;RUE PARGAMINIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.3114583333;mg-m3;100.0;100;100.0;R;1;43.604508;1.439778
2013/01/03 00:00:00;2013/01/03 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12009;RUE PARGAMINIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;1.0;0.5069583333;mg-m3;100.0;100;100.0;R;1;43.604508;1.439778
2013/01/04 00:00:00;2013/01/04 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12009;RUE PARGAMINIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.4520833333;mg-m3;100.0;100;100.0;R;1;43.604508;1.439778
2013/01/05 00:00:00;2013/01/05 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12009;RUE PARGAMINIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.2822916667;mg-m3;100.0;100;100.0;R;1;43.604508;1.439778
2013/01/06 00:00:00;2013/01/06 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12009;RUE PARGAMINIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.2663333333;mg-m3;100.0;100;100.0;R;1;43.604508;1.439778
2013/01/07 00:00:00;2013/01/07 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12009;RUE PARGAMINIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.3565833333;mg-m3;100.0;100;100.0;R;1;43.604508;1.439778
2013/01/08 00:00:00;2013/01/08 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12009;RUE PARGAMINIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.33125;mg-m3;100.0;100;100.0;R;1;43.604508;1.439778
2013/01/09 00:00:00;2013/01/09 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12009;RUE PARGAMINIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.2864583333;mg-m3;100.0;100;100.0;R;1;43.604508;1.439778
2013/01/10 00:00:00;2013/01/10 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12009;RUE PARGAMINIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.3027916667;mg-m3;100.0;100;100.0;R;1;43.604508;1.439778
2013/01/11 00:00:00;2013/01/11 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12009;RUE PARGAMINIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.495125;mg-m3;100.0;100;100.0;R;1;43.604508;1.439778
2013/01/12 00:00:00;2013/01/12 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12009;RUE PARGAMINIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.4128333333;mg-m3;100.0;100;100.0;R;1;43.604508;1.439778
2013/01/13 00:00:00;2013/01/13 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12009;RUE PARGAMINIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.2440833333;mg-m3;100.0;100;100.0;R;1;43.604508;1.439778
2013/01/14 00:00:00;2013/01/14 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12009;RUE PARGAMINIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.2846153846;mg-m3;54.0;100;54.0;N;-1;43.604508;1.439778
2013/01/15 00:00:00;2013/01/15 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12009;RUE PARGAMINIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.3125;mg-m3;67.0;100;67.0;N;-1;43.604508;1.439778
2013/01/16 00:00:00;2013/01/16 23:59:59;ATMO OCCITANIE;FR12A01;MIDI-PYRENEES-TOULOUSE;FR12009;RUE PARGAMINIERES;Urbaine;CO;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.1875;mg-m3;100.0;100;100.0;R;1;43.604508;1.439778
