Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2017/04/14 00:00:00;2017/04/14 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12015;MIRAMONT;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;0.0;0.0375;µg-m3;100.0;100;100.0;R;1;43.093611;0.743611
2017/04/14 00:00:00;2017/04/14 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12016;DAURAT ST GAUDENS;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;0.0;0.2958333333;µg-m3;100.0;100;100.0;R;1;43.106156;0.71955
2017/04/14 00:00:00;2017/04/14 23:59:59;ATMO OCCITANIE;FR76ZAG01;ZAG TOULOUSE;FR12030;BERTHELOT;Urbaine;SO2;Fond;Oui;mesures fixes;Moy. journalière;2.0;1.6083333333;µg-m3;100.0;100;100.0;R;1;43.587344;1.444003
2017/04/15 00:00:00;2017/04/15 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12015;MIRAMONT;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;0.0;0.0041666667;µg-m3;100.0;100;100.0;R;1;43.093611;0.743611
2017/04/15 00:00:00;2017/04/15 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12016;DAURAT ST GAUDENS;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;0.0;0.2833333333;µg-m3;100.0;100;100.0;R;1;43.106156;0.71955
2017/04/15 00:00:00;2017/04/15 23:59:59;ATMO OCCITANIE;FR76ZAG01;ZAG TOULOUSE;FR12030;BERTHELOT;Urbaine;SO2;Fond;Oui;mesures fixes;Moy. journalière;0.0;0.2791666667;µg-m3;100.0;100;100.0;R;1;43.587344;1.444003
2017/04/16 00:00:00;2017/04/16 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12015;MIRAMONT;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;0.0;0.0083333333;µg-m3;100.0;100;100.0;R;1;43.093611;0.743611
2017/04/16 00:00:00;2017/04/16 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12016;DAURAT ST GAUDENS;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;0.0;0.0875;µg-m3;100.0;100;100.0;R;1;43.106156;0.71955
2017/04/16 00:00:00;2017/04/16 23:59:59;ATMO OCCITANIE;FR76ZAG01;ZAG TOULOUSE;FR12030;BERTHELOT;Urbaine;SO2;Fond;Oui;mesures fixes;Moy. journalière;1.0;1.3041666667;µg-m3;100.0;100;100.0;R;1;43.587344;1.444003
2017/04/17 00:00:00;2017/04/17 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12015;MIRAMONT;Urbaine;SO2;Industrielle;Oui;mesures fixes;Moy. journalière;0.0;0.0;µg-m3;100.0;100;100.0;R;1;43.093611;0.743611
